year,month,taxa,species_portuguese,species_english,species_sci,production_kg
2000,4,Crustáceos,Pitú,Pitú,NA,2353
2000,4,Crustáceos,Sapateira,Edible crab,Cancer pagurus,2640
2000,4,Elasmobrânquios,Cação-anequim,Shark,NA,1152
2000,4,Elasmobrânquios,Cação-anjo,Shark,NA,22376
2000,4,Elasmobrânquios,Cação-azul,Blue dog,Prionace glauca,17296
2000,4,Elasmobrânquios,Cação-baia,Cação-baia,NA,247
2000,4,Elasmobrânquios,Cação-martelo,Shark,NA,2469
2000,4,Elasmobrânquios,Cações,Shark,Mustelus spp,18550
2000,4,Elasmobrânquios,Caçonete,Shark,NA,15028
2000,4,Elasmobrânquios,Emplastro,Emplastro,NA,99009
2000,4,Elasmobrânquios,Machote,Spinner Shark,NA,145
2000,4,Elasmobrânquios,Raia,Ray,NA,20326
2000,4,Elasmobrânquios,Raia-viola,NA,NA,16090
2000,4,Elasmobrânquios,Raposa,Raposa,NA,250
2000,4,Elasmobrânquios,Ratinho,Ratinho,NA,120
2000,4,Moluscos,Lula,Squid,Loligo sanpaulensis,6515
2000,4,Moluscos,Polvo,Octopus,Octopus spp.,7121
2000,4,Não Cadastrado,Mistura,Other fish,NA,718795
2000,4,Não Cadastrado,Residuo,Residuo,NA,3024
2000,4,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,180212
2000,4,Teleósteos,Agulhão,Atlantic saury,Scomberesox saurus,100
2000,4,Teleósteos,Agulhão-azul,Agulhão-azul,NA,727
2000,4,Teleósteos,Agulhão-maka,NA,NA,8
2000,4,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,1369
2000,4,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,2167
2000,4,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,31896
2000,4,Teleósteos,Atum,Blow goat,Auxis rochei,22809
2000,4,Teleósteos,Bagre,Couma sea catfish,Sciades couma,85402
2000,4,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,75
2000,4,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,10880
2000,4,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,97
2000,4,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,933547
2000,4,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,170118
2000,4,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,353510
2000,4,Teleósteos,Cavala,Chub mackerel,Scomberomorus cavalla,6
2000,4,Teleósteos,Cavalinha,American mackerel,Scomber japonicus,205865
2000,4,Teleósteos,Cherne,Grouper,NA,21625
2000,4,Teleósteos,Congro,Argentine Conger,Conger spp.,280
2000,4,Teleósteos,Congro-rosa,Australian Rockling,Genypterus brasiliensis,20114
2000,4,Teleósteos,Corcoroca,Grey Grunt,Haemulon spp.,940
2000,4,Teleósteos,Corvina,Croaker,Micropogonias furnieri,166057
2000,4,Teleósteos,Dourado,Common dolphifish,Coryphaena hippurus,2953
2000,4,Teleósteos,Enchova,Ancho,Pomatomus saltatrix,350
2000,4,Teleósteos,Enguia,Common Eel,Conger orbignyanus,3440
2000,4,Teleósteos,Espada,Broadbill,Xiphias gladius,2859
2000,4,Teleósteos,Galo,American John Dory,Zenopsis conchifer,1922
2000,4,Teleósteos,Garoupa,Deady,Epinephelus spp.,4012
2000,4,Teleósteos,Goete,Jamaica weakfish,Cynoscion jamaicensis,63300
