year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
1998,3,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,2618,893.68
1998,3,Peixe Ósseo,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,13974,0
1998,3,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,14232,6889.87
1998,3,Peixe Ósseo,Bicuda,European barracuda,Sphyraena tome,24,0
1998,3,Peixe Ósseo,Bonitos agrupados,skipjack tuna,NA,120,0
1998,3,Peixe Ósseo,Cabrinha,East Atlantic Red Gurnard,Prionotus spp.,342,0
1998,3,Peixe Ósseo,Caranha,Dog Snapper,Lutjanus spp.,15,17.3
1998,3,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,5,4
1998,3,Peixe Ósseo,Caraputanga,American red,Lutjanus purpureus,3,0
1998,3,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,40,0
1998,3,Peixe Ósseo,Cavalinha,American mackerel,Scomber japonicus,30000,0
1998,3,Peixe Ósseo,Chernes agrupados,Chernes agrupados,NA,12673,0
1998,3,Peixe Ósseo,Congro-rosa,Australian Rockling,Genypterus brasiliensis,55,0
1998,3,Peixe Ósseo,Corvina,Bashaw,Micropogonias furnieri,161069,2815.26
1998,3,Peixe Ósseo,Curimbatá,Curimbatá,NA,210,0
1998,3,Peixe Ósseo,Dourado,Common dolphifish,Coryphaena hippurus,94,0
1998,3,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,29,6
1998,3,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,2008,8.8
1998,3,Peixe Ósseo,Espadarte,Swordfish,Xiphias gladius,46234,0
1998,3,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,443,3.6
1998,3,Peixe Ósseo,Garoupa,Deady,Epinephelus spp.,239,955
1998,3,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,144567,159.1
1998,3,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,4933,2762.65
1998,3,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,1894,0
1998,3,Peixe Ósseo,Mandi,catfish,NA,42,0
1998,3,Peixe Ósseo,Manjuba-de-iguape,anchovy,NA,81945,0
1998,3,Peixe Ósseo,Mistura,Mistura,NA,111128,1451.88
1998,3,Peixe Ósseo,Namorado,Namorado,Pseudopercis spp.,7542,0
1998,3,Peixe Ósseo,Nundiá,Nundiá,NA,11,0
1998,3,Peixe Ósseo,Oveva,Cabezon,Larimus breviceps,338,6.6
1998,3,Peixe Ósseo,Pacu,Pacu,NA,7,0
1998,3,Peixe Ósseo,Parati,Mullet,NA,4130,2774.9
1998,3,Peixe Ósseo,Pargo-rosa,Common sea bream,Pagrus pagrus,178,0
1998,3,Peixe Ósseo,Paru,Paru,NA,22,18.7
1998,3,Peixe Ósseo,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,461,232
1998,3,Peixe Ósseo,Pescada-branca,Weakfish,Cynoscion leiarchus,364,94.5
1998,3,Peixe Ósseo,Pescada-cambucu,Weakfish,NA,2298,2259
1998,3,Peixe Ósseo,Pescada-dentão,Weakfish,NA,459,1251.47
1998,3,Peixe Ósseo,Pescada-foguete,Weakfish,NA,80133,46009.85
1998,3,Peixe Ósseo,Pescadas agrupadas,Weakfish,NA,129,0
1998,3,Peixe Ósseo,Porco,Porco,NA,68140,0
1998,3,Peixe Ósseo,Prejereba,Atlantic tripletail,Lobotes surinamensis,113,277.1
1998,3,Peixe Ósseo,Robalo-flecha,Robalo-flecha,NA,196,1331.33
1998,3,Peixe Ósseo,Robalo-peva,Robalo-peva,NA,219,794.5
1998,3,Peixe Ósseo,Sardinha-bandeira,Brazilian sardinella,NA,60,0
1998,3,Peixe Ósseo,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,2629105,0
1998,3,Peixe Ósseo,Sargo,Sargo,NA,7,7
1998,3,Peixe Ósseo,Sari-sari,Sari-sari,NA,67,1.6
1998,3,Peixe Ósseo,Sororoca,Sororoca,Scomberomorus,740,1477
1998,3,Peixe Ósseo,Tainha,Mullet,Mugil spp.,14237,7024.7
1998,3,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,208,5.5
1998,3,Peixe Ósseo,Traíra,Traíra,NA,1120,0
1998,3,Peixe Ósseo,Trilha,Argentine goatfish,Mullus argentinae,11,0
1998,4,Crustáceo,Camarão-estuarino,Shrimp,NA,528,2370
1998,4,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,244,2912
1998,4,Crustáceo,Camarão-sete-barbas,Shrimp,Xiphopenaeus kroyeri,1657.6,3031.8
1998,4,Crustáceo,Caranguejo-uçá,Crab,NA,1870.75,0
1998,4,Crustáceo,Lagosta,Lobster,Panulirus laevicauda,23,299
1998,4,Crustáceo,Pitú-de-iguape,Crayfish,NA,9,36
1998,4,Crustáceo,Siri-azul,Crab,NA,3637,0
1998,4,Molusco,Lula,Squid,Loligo sanpaulensis,230,0
1998,4,Peixe Cartilaginoso,Anequim,Beaumaris shark,Lamna nasus,855,0
1998,4,Peixe Cartilaginoso,Cação-anjo,Shark,NA,39929,0
1998,4,Peixe Cartilaginoso,Cação-azul,Blue dog,Prionace glauca,18630,0
1998,4,Peixe Cartilaginoso,Cação-raposa,Cação-raposa,NA,180,0
1998,4,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,5,0
1998,4,Peixe Cartilaginoso,Cações agrupados,Shark,NA,58813,1646.73
1998,4,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,3350,0
1998,4,Peixe Cartilaginoso,Machote,Spinner Shark,NA,7,0
1998,4,Peixe Cartilaginoso,Mangona,Mangona,NA,149,360.5
1998,4,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,5695,4.8
1998,4,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,258,3.6
1998,4,Peixe Ósseo,Abrótea,Brazilian codling,Urophycis brasiliensis,853,0
1998,4,Peixe Ósseo,Acará,Acará,NA,8,0
1998,4,Peixe Ósseo,Agulhão-branco,Agulhão-branco,Tetrapturus albidus,675,0
1998,4,Peixe Ósseo,Agulhão-negro,Atlantic blue marlin,Makaira nigricans,817,0
1998,4,Peixe Ósseo,Agulhão-vela platypterus,Agulhão-vela platypterus,NA,320,0
1998,4,Peixe Ósseo,Albacora-bandolim,Albacore,Thunnus obesus,1780,0
1998,4,Peixe Ósseo,Albacora-branca,Albacora-branca,Thunnus alalunga,990,0
1998,4,Peixe Ósseo,Albacora-de-laje,Albacore,Thunnus albacares,150,0
1998,4,Peixe Ósseo,Atuns agrupados,Tuna,NA,15940,0
