species_portuguese,sci_name,species_english,
Agulhão-vela platypterus,,Agulhão-vela platypterus,
Bonito-serrinha,,Bonito-serrinha,
Canhanha,Archosargus rhomboidalis,Brim,
Coió,,Coió,
Parati-barbudo,,Parati-barbudo,
Vermelho-henrique,,Vermelho-henrique,
Raia-jamanta,,Raia-jamanta,
Cangoá,,Cangoá,
Cherne-verdadeiro,,Cherne-verdadeiro,
Congros e enguias,,Congros e enguias,
Agulhão-branco,Tetrapturus albidus,Agulhão-branco,
Albacora-branca,Thunnus alalunga,Albacora-branca,
Galo-sem-penacho,,Galo-sem-penacho,
Manjubas,,Manjubas,
Concha,,Concha,
Carapicu,Diapterus auratus,Broad shad,
Almeja,,Almeja,
Polvo-saquinho,,Polvo-saquinho,
Tamburutaca,,Tamburutaca,
Lula-branca,,Lula-branca,
Cação-cabeça-chata,,Cação-cabeça-chata,
Amboré,,Amboré,
Moréia,Gymnothorax spp.,Moréia,
Bonito-gaiado,,Bonito-gaiado,
Pacu,,Pacu,
Cação-lombo-preto,,Cação-lombo-preto,
Peixes agrupados,,Peixes agrupados,
Cação-azeiteiro,,Cação-azeiteiro,
Manjuba-branca,,Manjuba-branca,
Tuvira,,Tuvira,
Viramorro,,Viramorro,
Camarão-gigante-da-Malásia,,Camarão-gigante-da-Malásia,
Salmonete,Mullus argentinae,Argentine goatfish,
Agulhão-negro,Makaira nigricans,Atlantic blue marlin,
Castanha-riscada,Umbrina coroides,Drum,
Piraputanga,,Piraputanga,
Tajibucu,,Tajibucu,
Albacora-bandolim,Thunnus obesus,Albacore,
Dourado (água-doce),,Dourado (água-doce),
Sardinha-cascuda,Harengula clupeola,Blackbill sprat,
Siri-pintado,,Siri-pintado,
Peixes diversos,,Other fish,
Pintado,,Catfish,
Cirurgião,,Cirurgião,
Siri-fedido,,Siri-fedido,
Lua,,Lua,
Lambari,,Lambari,
Caranguejo-santola,,Caranguejo-santola,
Cação-fidalgo,,Cação-fidalgo,
Cherne-de-galha-amarela,,Cherne-de-galha-amarela,
Lisbão,,Lisbão,
Camarão-barba-ruça,Artemesia longinaris,Camarão-barba-ruça,
Camarão-santana + barba-ruca,,Camarão-santana + barba-ruca,
Pitú,,Pitú,
Cação-anequim,,Shark,
Cação-cabeca-chata,,Shark,
Cação-martelo,,Shark,
Cação-tigre,,Shark,
Cações,Mustelus spp,Shark,
Caçonete,,Shark,
Emplastro,,Emplastro,
Raia,,Ray,
Calamar-argentino,Illex argentinus,Calamar-argentino,
Abrótea-de-fundo,,Brazilian codling,
Albacora-lage,Thunnus albacares,Albacore,
Atum,Auxis rochei,Blow goat,
Bonito-cachorro,Auxis thazard,Bonito,
Bonito-listrado,Katsuwonus pelamis,Arctic bonito,
Cabra,Prionotus spp.,East Atlantic Red Gurnard,
Enguia,Conger orbignyanus,Common Eel,
Ferrinho,,Ferrinho,
Galo-de-profundidade,Zenopsis conchifer,American John Dory,
Lanceta,,Lanceta,
Mangangá,,Mangangá,
Meca,,Meca,
Peixe-porco,Oxynotus centrina,Angular roughshark,
Peixe-sapo,Lophius gastrophysus,Anglerfish,
Pescada,Cynoscion spp.,Weakfish,
Pescadinha-real,Macrodon ancylodon,Bangamary,
Pijirica,,Pijirica,
Prego,,Prego,
Sardinha-lage,Opisthonema oglinum,Atlantic thread herring,
Cação-bagre,,Cação-bagre,
Ratinho,,Ratinho,
Ovas,,Ovas,
Agulhão-azul,,Agulhão-azul,
Maria-luiza,,Maria-luiza,
Peixe-tábua,Trachipterus trachipterus,Mediterranean dealfish,
Camarão-branco,Litopenaeus schimitti,Camarão-branco,
Residuo,,Residuo,
Linguado-vermelho,,Linguado-vermelho,
Peixe-lua,Mola mola,Ocean sunfish,
Aipim,Percophis brasiliensis,Brazilian flathead,
