#,year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
152,2016,12,Molusco,Ostra,Oyster,Crassostrea spp.,3082.21,5284.01
153,2016,12,Peixe Cartilaginoso,Cação-cabeça-chata,Cação-cabeça-chata,NA,2,24
154,2016,12,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,454,7485
155,2016,12,Peixe Cartilaginoso,Cações agrupados,Shark,NA,853,9881
156,2016,12,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,267,673.5
157,2016,12,Peixe Cartilaginoso,Raia-ticonha,Raia-ticonha,NA,10,50
158,2016,12,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,135,1889.6
159,2016,12,Peixe Ósseo,Abrótea,Brazilian codling,Urophycis brasiliensis,25,150
160,2016,12,Peixe Ósseo,Atum-legítimo,Tuna,NA,17,126.82
161,2016,12,Peixe Ósseo,Atuns agrupados,Tuna,NA,274,1945.64
162,2016,12,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,2056,9516.5
163,2016,12,Peixe Ósseo,Bagre-amarelo,Gillbacker sea catfish,Sciades parkeri,67,201.58
164,2016,12,Peixe Ósseo,Bagre-branco,Catfish,Sciades proops,3026,11581.61
165,2016,12,Peixe Ósseo,Baiacú,trunkfish,NA,1005.5,8109.63
166,2016,12,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,370,2264.45
167,2016,12,Peixe Ósseo,Bonitos agrupados,skipjack tuna,NA,1,0
168,2016,12,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,133,183
169,2016,12,Peixe Ósseo,Caratinga,Mojarra,NA,51,257.22
170,2016,12,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,150,1390
171,2016,12,Peixe Ósseo,Cavalas agrupadas,Wahoo,NA,4248,36087.24
172,2016,12,Peixe Ósseo,Corvina,Croaker,Micropogonias furnieri,1551,8117.85
173,2016,12,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,49.5,204.06
174,2016,12,Peixe Ósseo,Garoupa,Deady,Epinephelus spp.,17,255
175,2016,12,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,17,85
176,2016,12,Peixe Ósseo,Gordinho,Angelfish,Pomacanthus arcuatus,2,0
177,2016,12,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,8984,33411
178,2016,12,Peixe Ósseo,Lambari,Lambari,NA,0.5,0
179,2016,12,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,90.7,1331.5
180,2016,12,Peixe Ósseo,Manjuba-chata,anchovy,NA,105,240.98
181,2016,12,Peixe Ósseo,Maria-luíza,Croaker,NA,54,540
182,2016,12,Peixe Ósseo,Mistura,Mistura,NA,2476,4633.28
183,2016,12,Peixe Ósseo,Palombeta,Leerfish,Chloroscombrus chrysurus,292,640
184,2016,12,Peixe Ósseo,Pampo,Pampo,Trachinotus spp.,70,440
185,2016,12,Peixe Ósseo,Pararê,Pararê,NA,18,83
186,2016,12,Peixe Ósseo,Parati,Mullet,NA,1140,2710.05
187,2016,12,Peixe Ósseo,Pargo-rosa,Common sea bream,Pagrus pagrus,4,40
188,2016,12,Peixe Ósseo,Paru,Paru,NA,3070.5,11236.56
189,2016,12,Peixe Ósseo,Pescada-amarela,Acoupa weakfish,Cynoscion acoupa,432,5113.43
190,2016,12,Peixe Ósseo,Pescada-banana,Weakfish,NA,1,0
191,2016,12,Peixe Ósseo,Pescada-branca,Weakfish,Cynoscion leiarchus,3118.5,32950.2
192,2016,12,Peixe Ósseo,Pescada-dentão,Weakfish,NA,217,3188
193,2016,12,Peixe Ósseo,Pescada-foguete,Weakfish,NA,5871,45141.72
194,2016,12,Peixe Ósseo,Pescadas agrupadas,Weakfish,NA,239,1959.1
195,2016,12,Peixe Ósseo,Porco,Porco,NA,30,400
196,2016,12,Peixe Ósseo,Prejereba,Atlantic tripletail,Lobotes surinamensis,29,517.5
197,2016,12,Peixe Ósseo,Robalo,Snook,Centropomus spp.,489,12810
198,2016,12,Peixe Ósseo,Robalo-flecha,Snook,NA,297,6375.13
199,2016,12,Peixe Ósseo,Robalo-peva,Snook,NA,168.5,2038.5
200,2016,12,Peixe Ósseo,Saguá,Saguá,NA,5,30
201,2016,12,Peixe Ósseo,Salema,Salema,Sarpa salpa,4.4,33.2
202,2016,12,Peixe Ósseo,Sardinha-verdadeira,Brazilian sardinella,Sardinella brasiliensis,243,671
203,2016,12,Peixe Ósseo,Sororoca,Sororoca,Scomberomorus,30,210
204,2016,12,Peixe Ósseo,Tainha,Mullet,Mugil spp.,207.5,1122.52
205,2016,12,Peixe Ósseo,Tortinha,Bigtooth corvina,Isopisthus parvipinnis,60,380
206,2016,12,Peixe Ósseo,Vermelho,Snapper,Lutjanus spp.,5,0
207,2016,12,Peixe Ósseo,Xaréu,Black cavalli,Caranx hippos,155,1550
208,2016,12,,,#N/A,#N/A,0,0
209,2017,1,Crustáceo,Camarão-estuarino,Shrimp,NA,249.44,6003.77
210,2017,1,Crustáceo,Camarão-ferrinho,Shrimp,NA,206,3120
211,2017,1,Crustáceo,Camarão-legítimo,Shrimp,Litopenaeus schimitti,1757.7,84093.5
212,2017,1,Crustáceo,Camarão-santana,Shrimp,Pleoticus muelleri,590,5310
213,2017,1,Crustáceo,Camarão-sete-barbas,Seabob shrimp,Xiphopenaeus kroyeri,43982.5,406760.83
214,2017,1,Crustáceo,Camarões-rosa,Brown shrimp,NA,450.6,11371
215,2017,1,Crustáceo,Caranguejo-uçá,Crab,NA,22301.3092,139055.63
216,2017,1,Crustáceo,Siri-azul,Crab,NA,1452.68,20424.67
217,2017,1,Crustáceo,Siri-azul-danae,Siri-azul-danae,NA,40.32,900
218,2017,1,Crustáceo,Siris agrupados,Crab,NA,10,150
219,2017,1,Molusco,Berbigão,Cockle,Anomalocardia brasiliana,1500,825
220,2017,1,Molusco,Mexilhão,Mussel,Perna perna,70,820
221,2017,1,Molusco,Mexilhão-do-mangue,Mussel,NA,941.7,7497.5
222,2017,1,Molusco,Ostra,Oyster,Crassostrea spp.,4093.56,7610
223,2017,1,Peixe Cartilaginoso,Cação-rola-rola,Shark,NA,245,3986
224,2017,1,Peixe Cartilaginoso,Cações agrupados,Shark,NA,77,558
225,2017,1,Peixe Cartilaginoso,Cambeva,Bronze hammerhead shark,Sphyrna lewini,219,3094
226,2017,1,Peixe Cartilaginoso,Raias agrupadas,Ray,NA,419,596.5
227,2017,1,Peixe Cartilaginoso,Viola,Common guitarfish,Rhinobatos rhinobatos,259,3454
228,2017,1,Peixe Ósseo,Acará,Acará,NA,0.5,5
229,2017,1,Peixe Ósseo,Atuns agrupados,Tuna,NA,108,954
230,2017,1,Peixe Ósseo,Bagre,Couma sea catfish,Sciades couma,300,2958
231,2017,1,Peixe Ósseo,Bagre-amarelo,Gillbacker sea catfish,Sciades parkeri,415,881
232,2017,1,Peixe Ósseo,Bagre-branco,Catfish,Sciades proops,1199.9,6197.32
233,2017,1,Peixe Ósseo,Baiacú,trunkfish,NA,551.5,4551.17
234,2017,1,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,195.5,428.4
235,2017,1,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,136,300.5
236,2017,1,Peixe Ósseo,Caratinga,Mojarra,NA,12.5,72.5
237,2017,1,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,100,1000
238,2017,1,Peixe Ósseo,Cavalas agrupadas,Wahoo,NA,2479,24302.57
239,2017,1,Peixe Ósseo,Corvina,Croaker,Micropogonias furnieri,940.5,3757.26
240,2017,1,Peixe Ósseo,Dourado,Common dolphifish,Coryphaena hippurus,1,0
241,2017,1,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,5,20
242,2017,1,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,81,167
243,2017,1,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,93,219
