year,month,taxa,species_portuguese,species_english,species_sci,production_kg
2014,5,Elasmobrânquios,Cações,Shark,Mustelus spp,4774
2014,5,Elasmobrânquios,Caçonete,Shark,NA,1643
2014,5,Elasmobrânquios,Emplastro,Emplastro,NA,49246
2014,5,Elasmobrânquios,Raia,Ray,NA,8308
2014,5,Elasmobrânquios,Ratinho,Ratinho,NA,1282
2014,5,Moluscos,Calamar-argentino,Calamar-argentino,Illex argentinus,19000
2014,5,Moluscos,Lula,Squid,Loligo sanpaulensis,560
2014,5,Moluscos,Polvo,Octopus,Octopus spp.,725
2014,5,Não Cadastrado,Mistura,Other fish,NA,254573
2014,5,Não Cadastrado,Não discriminado,Não discriminado,NA,30000
2014,5,Não Cadastrado,Residuo,Residuo,NA,56481
2014,5,Teleósteos,Abrótea,Brazilian codling,Urophycis brasiliensis,101960
2014,5,Teleósteos,Abrótea-de-fundo,Brazilian codling,NA,212500
2014,5,Teleósteos,Agulhão,Atlantic saury,Scomberesox saurus,80
2014,5,Teleósteos,Agulhão-branco,Agulhão-branco,Tetrapturus albidus,90
2014,5,Teleósteos,Albacora-bandolim,Albacore,Thunnus obesus,12575
2014,5,Teleósteos,Albacora-branca,Albacora-branca,Thunnus alalunga,10072
2014,5,Teleósteos,Albacora-lage,Albacore,Thunnus albacares,1282
2014,5,Teleósteos,Atum,Blow goat,Auxis rochei,266
2014,5,Teleósteos,Bagre,Couma sea catfish,Sciades couma,13325
2014,5,Teleósteos,Batata,Atlantic goldeneye tilefish,Caulolatilus chrysops,2373
2014,5,Teleósteos,Betara,Carolina Whiting,Menticirrhus spp.,1933
2014,5,Teleósteos,Bonito-cachorro,Bonito,Auxis thazard,19411
2014,5,Teleósteos,Bonito-listrado,Skipjack tuna,Katsuwonus pelamis,919562
2014,5,Teleósteos,Cabra,East Atlantic Red Gurnard,Prionotus spp.,79300
2014,5,Teleósteos,Carapau,Jack mackerel,Trachurus lathami,260
2014,5,Teleósteos,Carapeba,Broad shad,Diapterus auratus,360
2014,5,Teleósteos,Castanha,Argentine croaker,Umbrina canosai,300832
2014,5,Teleósteos,Cavalinha,American mackerel,Scomber japonicus,79730
2014,5,Teleósteos,Congro,Argentine Conger,Conger spp.,16798
2014,5,Teleósteos,Congro-rosa,Australian Rockling,Genypterus brasiliensis,41927
2014,5,Teleósteos,Corcoroca,Grey Grunt,Haemulon spp.,7592
2014,5,Teleósteos,Corvina,Croaker,Micropogonias furnieri,713316
2014,5,Teleósteos,Dourado,Common dolphifish,Coryphaena hippurus,15217
2014,5,Teleósteos,Enchova,Ancho,Pomatomus saltatrix,9859
2014,5,Teleósteos,Enguia,Common Eel,Conger orbignyanus,1380
2014,5,Teleósteos,Espada,Broadbill,Xiphias gladius,4145
2014,5,Teleósteos,Galo,American John Dory,Zenopsis conchifer,530
2014,5,Teleósteos,Goete,Jamaica weakfish,Cynoscion jamaicensis,5280
2014,5,Teleósteos,Gordinho,Angelfish,Pomacanthus arcuatus,8130
2014,5,Teleósteos,Guaivira,Jack,Oligoplites spp.,2690
2014,5,Teleósteos,Linguado,Flatfish,Paralichthys spp.,26603
