year,month,taxa,species_portuguese,species_english,species_sci,production_kg,value_rs
2014,2,Peixe Ósseo,Baiacú,trunkfish,NA,157,477.5
2014,2,Peixe Ósseo,Betara,Carolina Whiting,Menticirrhus spp.,46021.08,109280.05
2014,2,Peixe Ósseo,Bicuda,European barracuda,Sphyraena tome,3047.4,17890.55
2014,2,Peixe Ósseo,Bonito-cachorra,skipjack tuna,NA,1271,2232.5
2014,2,Peixe Ósseo,Bonito-pintado,Atlantic black skipjack,Euthynnus alletteratus,95,258.75
2014,2,Peixe Ósseo,Bonitos agrupados,skipjack tuna,NA,1193,2944
2014,2,Peixe Ósseo,Budião,parrotfish,Sparisoma spp.,6,30
2014,2,Peixe Ósseo,Cabrinha,East Atlantic Red Gurnard,Prionotus spp.,19066,24455.05
2014,2,Peixe Ósseo,Caranha,Dog Snapper,Lutjanus spp.,49.8,569.8
2014,2,Peixe Ósseo,Carapau,Jack mackerel,Trachurus lathami,15392.5,99239.92
2014,2,Peixe Ósseo,Carapeba,Broad shad,Diapterus auratus,2799.7,5459.9
2014,2,Peixe Ósseo,Caraputanga,American red,Lutjanus purpureus,126.9,506.9
2014,2,Peixe Ósseo,Caratinga,Mojarra,NA,715.5,3399.75
2014,2,Peixe Ósseo,Cascudo,Atlantic searobin,Prionotus punctatus,42.2,236.4
2014,2,Peixe Ósseo,Castanha,Argentine croaker,Umbrina canosai,1085,1763
2014,2,Peixe Ósseo,Cavala,Chub mackerel,Scomberomorus cavalla,2023.1,28087.71
2014,2,Peixe Ósseo,Cavalinha,American mackerel,Scomber japonicus,90,360
2014,2,Peixe Ósseo,Cavalinha-do-norte,Caballa,Thyrsitops lepidopoides,12,60
2014,2,Peixe Ósseo,Chernes agrupados,#N/A,#N/A,18,216
2014,2,Peixe Ósseo,Cioba,Dog Snapper,Lutjanus analis,499.13,7099.15
2014,2,Peixe Ósseo,Congro,Argentine Conger,Conger spp.,60,90
2014,2,Peixe Ósseo,Congro-rosa,Australian Rockling,Genypterus brasiliensis,2932,26228
2014,2,Peixe Ósseo,Corcoroca,Grey Grunt,Haemulon spp.,100,100
2014,2,Peixe Ósseo,Corvina,Bashaw,Micropogonias furnieri,140801.14,571066.5
2014,2,Peixe Ósseo,Curimbatá,Curimbatá,NA,9,0
2014,2,Peixe Ósseo,Dourado,Common dolphifish,Coryphaena hippurus,742,6863.5
2014,2,Peixe Ósseo,Enchova,Ancho,Pomatomus saltatrix,5638,56044.43
2014,2,Peixe Ósseo,Enchova-preta,Castor oil fish,Ruvettus pretiosus,1630,26895
2014,2,Peixe Ósseo,Espada,Broadbill,Xiphias gladius,21866.25,48111.05
2014,2,Peixe Ósseo,Espadarte,Swordfish,Xiphias gladius,3343,31437
2014,2,Peixe Ósseo,Galo,American John Dory,Zenopsis conchifer,10150.2,20606.91
2014,2,Peixe Ósseo,Galo-de-penacho,Atlantic Moonfish,Selene setapinnis,1049,1598.5
2014,2,Peixe Ósseo,Garoupa,Deady,Epinephelus spp.,862.5,9686.17
2014,2,Peixe Ósseo,Goete,Jamaica weakfish,Cynoscion jamaicensis,149428.32,409533.83
2014,2,Peixe Ósseo,Gordinho,Angelfish,Pomacanthus arcuatus,6440.6,10798.73
2014,2,Peixe Ósseo,Guaivira,Jack,Oligoplites spp.,15281.59,34957.44
2014,2,Peixe Ósseo,Linguado,Flatfish,Paralichthys spp.,3162.6,34428.3
2014,2,Peixe Ósseo,Linguado-areia,Flatfish,NA,2344,4823.25
2014,2,Peixe Ósseo,Mandi,catfish,NA,46.5,241
2014,2,Peixe Ósseo,Manjuba-chata,anchovy,NA,1525,0
2014,2,Peixe Ósseo,Manjuba-de-iguape,anchovy,NA,157536.43,555922.59
2014,2,Peixe Ósseo,Manjubas agrupadas,anchovy,NA,1800,0
2014,2,Peixe Ósseo,Maria-luíza,Croaker,NA,2294.5,2275.05
2014,2,Peixe Ósseo,Maria-mole,Maria-mole,Cynoscion guatucupa,18230,72308.75
2014,2,Peixe Ósseo,Merluza,Hake,Merluccius hubbsi,1964,3427
2014,2,Peixe Ósseo,Miraguaia,Miraguaia,NA,84.4,404.05
2014,2,Peixe Ósseo,Mistura,Mistura,NA,83639.26,127449.38
2014,2,Peixe Ósseo,Namorado,Namorado,Pseudopercis spp.,348,3261
2014,2,Peixe Ósseo,Nundiá,Nundiá,NA,78.3,477.54
2014,2,Peixe Ósseo,Olhete,Amberjack,Seriola lalandi,295,5594
2014,2,Peixe Ósseo,Olho-de-boi,Amberjack,NA,305,5503
2014,2,Peixe Ósseo,Olho-de-cão,Olho-de-cão,Priacanthus spp.,6042.8,15411.98
2014,2,Peixe Ósseo,Outras espécies,Outras espécies,NA,280,0
