"Taxon.Key","Country","Year","Aquaculture","Capture","Common_Name","MatchGroup"
NA,"Brazil","X2013",NA,4801,"Atlantic searobins","Marine Fishes"
NA,"Brazil","X2014",NA,5795,"Atlantic searobins","Marine Fishes"
NA,"Brazil","X2015",NA,5220,"Atlantic searobins","Marine Fishes"
NA,"Brazil","X2016",NA,5220,"Atlantic searobins","Marine Fishes"
NA,"Brazil","X2010",NA,0,"Atlantic spotted dolphin",NA
NA,"Brazil","X2011",NA,0,"Atlantic spotted dolphin",NA
NA,"Brazil","X2012",NA,0,"Atlantic spotted dolphin",NA
NA,"Brazil","X2013",NA,0,"Atlantic spotted dolphin",NA
NA,"Brazil","X2014",NA,0,"Atlantic spotted dolphin",NA
NA,"Brazil","X2015",NA,0,"Atlantic spotted dolphin",NA
NA,"Brazil","X2016",NA,0,"Atlantic spotted dolphin",NA
601486,"Brazil","X2010",NA,8710,"Atlantic thread herring","Anchovies Herrings Sardines"
601486,"Brazil","X2011",NA,8105,"Atlantic thread herring","Anchovies Herrings Sardines"
601486,"Brazil","X2012",NA,8820,"Atlantic thread herring","Anchovies Herrings Sardines"
601486,"Brazil","X2013",NA,7612,"Atlantic thread herring","Anchovies Herrings Sardines"
601486,"Brazil","X2014",NA,9189,"Atlantic thread herring","Anchovies Herrings Sardines"
601486,"Brazil","X2015",NA,8260,"Atlantic thread herring","Anchovies Herrings Sardines"
601486,"Brazil","X2016",NA,8260,"Atlantic thread herring","Anchovies Herrings Sardines"
600219,"Brazil","X2010",NA,36,"Atlantic white marlin","Marine Fishes"
600219,"Brazil","X2011",NA,60,"Atlantic white marlin","Marine Fishes"
600219,"Brazil","X2012",NA,71,"Atlantic white marlin","Marine Fishes"
600219,"Brazil","X2013",NA,87,"Atlantic white marlin","Marine Fishes"
600219,"Brazil","X2014",NA,49,"Atlantic white marlin","Marine Fishes"
600219,"Brazil","X2015",NA,115,"Atlantic white marlin","Marine Fishes"
600219,"Brazil","X2016",NA,107,"Atlantic white marlin","Marine Fishes"
NA,"Brazil","X2010",NA,0,"Baleen whales nei",NA
NA,"Brazil","X2011",NA,0,"Baleen whales nei",NA
NA,"Brazil","X2012",NA,0,"Baleen whales nei",NA
NA,"Brazil","X2013",NA,0,"Baleen whales nei",NA
NA,"Brazil","X2014",NA,0,"Baleen whales nei",NA
NA,"Brazil","X2015",NA,0,"Baleen whales nei",NA
NA,"Brazil","X2016",NA,0,"Baleen whales nei",NA
601059,"Brazil","X2010",NA,1136,"Ballyhoo halfbeak","Marine Fishes"
601059,"Brazil","X2011",NA,1057,"Ballyhoo halfbeak","Marine Fishes"
601059,"Brazil","X2012",NA,1150,"Ballyhoo halfbeak","Marine Fishes"
601059,"Brazil","X2013",NA,993,"Ballyhoo halfbeak","Marine Fishes"
601059,"Brazil","X2014",NA,1198,"Ballyhoo halfbeak","Marine Fishes"
601059,"Brazil","X2015",NA,1080,"Ballyhoo halfbeak","Marine Fishes"
601059,"Brazil","X2016",NA,1080,"Ballyhoo halfbeak","Marine Fishes"
NA,"Brazil","X2010",0,1098,"Banded astyanax",NA
NA,"Brazil","X2011",233,1035,"Banded astyanax",NA
NA,"Brazil","X2012",254,1043,"Banded astyanax",NA
NA,"Brazil","X2013",256,1052,"Banded astyanax",NA
NA,"Brazil","X2014",300,1039,"Banded astyanax",NA
NA,"Brazil","X2015",250,1000,"Banded astyanax",NA
NA,"Brazil","X2016",250,1000,"Banded astyanax",NA
400360,"Brazil","X2010",NA,389,"Barracudas nei","Marine Fishes"
400360,"Brazil","X2011",NA,362,"Barracudas nei","Marine Fishes"
400360,"Brazil","X2012",NA,394,"Barracudas nei","Marine Fishes"
400360,"Brazil","X2013",NA,340,"Barracudas nei","Marine Fishes"
400360,"Brazil","X2014",NA,410,"Barracudas nei","Marine Fishes"
400360,"Brazil","X2015",NA,370,"Barracudas nei","Marine Fishes"
400360,"Brazil","X2016",NA,370,"Barracudas nei","Marine Fishes"
600401,"Brazil","X2010",NA,154,"Barred grunt","Grunts"
600401,"Brazil","X2011",NA,143,"Barred grunt","Grunts"
600401,"Brazil","X2012",NA,156,"Barred grunt","Grunts"
600401,"Brazil","X2013",NA,134,"Barred grunt","Grunts"
600401,"Brazil","X2014",NA,162,"Barred grunt","Grunts"
600401,"Brazil","X2015",NA,145,"Barred grunt","Grunts"
600401,"Brazil","X2016",NA,145,"Barred grunt","Grunts"
NA,"Brazil","X2010",NA,1038,"Barred sorubim",NA
NA,"Brazil","X2011",NA,979,"Barred sorubim",NA
NA,"Brazil","X2012",NA,987,"Barred sorubim",NA
NA,"Brazil","X2013",NA,995,"Barred sorubim",NA
NA,"Brazil","X2014",NA,982,"Barred sorubim",NA
NA,"Brazil","X2015",NA,945,"Barred sorubim",NA
NA,"Brazil","X2016",NA,945,"Barred sorubim",NA
601351,"Brazil","X2010",NA,2658,"Bastard halibuts nei","Flatfishes"
601351,"Brazil","X2011",NA,2474,"Bastard halibuts nei","Flatfishes"
601351,"Brazil","X2012",NA,2692,"Bastard halibuts nei","Flatfishes"
601351,"Brazil","X2013",NA,2323,"Bastard halibuts nei","Flatfishes"
601351,"Brazil","X2014",NA,2804,"Bastard halibuts nei","Flatfishes"
601351,"Brazil","X2015",NA,2520,"Bastard halibuts nei","Flatfishes"
601351,"Brazil","X2016",NA,2520,"Bastard halibuts nei","Flatfishes"
600387,"Brazil","X2010",NA,646,"Bigeye scad","Marine Fishes"
600387,"Brazil","X2011",NA,601,"Bigeye scad","Marine Fishes"
600387,"Brazil","X2012",NA,654,"Bigeye scad","Marine Fishes"
600387,"Brazil","X2013",NA,565,"Bigeye scad","Marine Fishes"
600387,"Brazil","X2014",NA,682,"Bigeye scad","Marine Fishes"
600387,"Brazil","X2015",NA,610,"Bigeye scad","Marine Fishes"
600387,"Brazil","X2016",NA,610,"Bigeye scad","Marine Fishes"
602534,"Brazil","X2010",NA,22,"Bigeye thresher","Sharks"
602534,"Brazil","X2011",NA,22,"Bigeye thresher","Sharks"
602534,"Brazil","X2012",NA,1,"Bigeye thresher","Sharks"
602534,"Brazil","X2013",NA,9,"Bigeye thresher","Sharks"
602534,"Brazil","X2014",NA,4,"Bigeye thresher","Sharks"
602534,"Brazil","X2015",NA,0,"Bigeye thresher","Sharks"
602534,"Brazil","X2016",NA,0,"Bigeye thresher","Sharks"
600146,"Brazil","X2010",NA,1151,"Bigeye tuna","Tunas"
600146,"Brazil","X2011",NA,1799,"Bigeye tuna","Tunas"
600146,"Brazil","X2012",NA,1400,"Bigeye tuna","Tunas"
600146,"Brazil","X2013",NA,1433,"Bigeye tuna","Tunas"
600146,"Brazil","X2014",NA,3475,"Bigeye tuna","Tunas"
600146,"Brazil","X2015",NA,3561,"Bigeye tuna","Tunas"
600146,"Brazil","X2016",NA,2823,"Bigeye tuna","Tunas"
500912,"Brazil","X2010",NA,198,"Bigeyes nei","Marine Fishes"
500912,"Brazil","X2011",NA,184,"Bigeyes nei","Marine Fishes"
500912,"Brazil","X2012",NA,201,"Bigeyes nei","Marine Fishes"
500912,"Brazil","X2013",NA,173,"Bigeyes nei","Marine Fishes"
500912,"Brazil","X2014",NA,209,"Bigeyes nei","Marine Fishes"
500912,"Brazil","X2015",NA,188,"Bigeyes nei","Marine Fishes"
500912,"Brazil","X2016",NA,188,"Bigeyes nei","Marine Fishes"
601179,"Brazil","X2010",NA,86,"Bigtooth corvina","Croakers"
