"year","common_name","scientific_name","fishing_entity","fishing_sector","Total_tonnes","Landings_Value"
1952,"Weakfishes","Cynoscion","Brazil","Subsistence",64.2642542027,376138.679848403
1952,"Whitemouth croaker","Micropogonias furnieri","Brazil","Subsistence",7.3103640563,30169.8724603501
1952,"Yellowtail amberjack","Seriola lalandi","Chile","Subsistence",5.21755,6548.02525
1953,"Argentine hake","Merluccius hubbsi","Brazil","Subsistence",1.4525565306,1523.7318005994
1953,"Basses, groupers, hinds","Serranidae","Peru","Subsistence",5.023003,2295.51237101029
1953,"Black jack","Caranx lugubris","Chile","Subsistence",0.4893027396,206.975058859642
1953,"Bluefish","Pomatomus saltatrix","Brazil","Subsistence",0.0527460879,325.970823222
1953,"Cabinza grunt","Isacia conceptionis","Peru","Subsistence",10.5419747837,2024.05915846285
1953,"Chilean jack mackerel","Trachurus murphyi","Chile","Subsistence",2.2815,663.9165
1953,"Chilean jack mackerel","Trachurus murphyi","Peru","Subsistence",0.3224134774,26.7603186273191
1953,"Chilean ribbed mussel","Aulacomya ater","Peru","Subsistence",24.9588375959,17446.2274795412
1953,"Chilean silverside","Odontesthes regia","Peru","Subsistence",12.6630327732,4938.58278153474
1953,"Chub mackerel","Scomber japonicus","Peru","Subsistence",16.9036291882,6761.45167529756
1953,"Clams, seasnails, squids, octopuses","Mollusca","Peru","Subsistence",0.3419018849,79.6631391759875
1953,"Cods","Gadiformes","Brazil","Subsistence",1.1273942103,2440.8084652995
1953,"Commercial shrimps and prawns","Penaeidae","Brazil","Subsistence",32.6540412091,204806.146463475
1953,"Common octopus","Octopus vulgaris","Brazil","Subsistence",4.2474702381,14279.9949404922
1953,"Crabs, lobsters, shrimps","Decapoda","Brazil","Subsistence",9.6533414502,14151.7985659932
1953,"Drums, croakers","Sciaenidae","Brazil","Subsistence",0.0841614932,326.0416246568
1953,"Drums, croakers","Sciaenidae","Peru","Subsistence",141.6613476334,45614.9539379574
1953,"Eastern Pacific bonito","Sarda chiliensis","Peru","Subsistence",1742.930333624,446190.165407741
1953,"Finfishes","Marine finfishes not identified","Chile","Subsistence",0.750264201,1099.887318666
1953,"Flathead grey mullet","Mugil cephalus","Peru","Subsistence",7.0068781345,2333.29041878357
1953,"Galapagos shark","Carcharhinus galapagensis","Chile","Subsistence",0.0326201826,24.0736947893485
1953,"Grey mullets","Mugil","Brazil","Subsistence",80.1054841064,288459.848267146
1953,"Hapuka","Polyprion oxygeneios","Chile","Subsistence",2.2815,5297.643
1953,"Herrings, sardines, menhadens","Clupeidae","Brazil","Subsistence",38.7040986107,24422.2862233517
1953,"Jacks, pompanos","Carangidae","Brazil","Subsistence",7.5847682823,19910.0167410375
1953,"King weakfish","Macrodon ancylodon","Brazil","Subsistence",4.2964089825,16644.288398205
1953,"Marine fishes nei","Marine fishes not identified","Brazil","Subsistence",84.521750824,190427.504606472
1953,"Marine fishes nei","Marine fishes not identified","Chile","Subsistence",17.7670966654,11690.7496058073
1953,"Marine fishes nei","Marine fishes not identified","Peru","Subsistence",351.9498494246,65814.6218423995
1953,"Medusafishes","Centrolophidae","Chile","Subsistence",1.9572109585,1843.69272289157
1953,"Pacific menhaden","Ethmidium maculatum","Peru","Subsistence",433.1179309515,33350.0806832672
1953,"Pacific sierra","Scomberomorus sierra","Peru","Subsistence",22.2178539384,13930.5944193463
1953,"Peruvian banded croaker","Paralonchurus peruanus","Peru","Subsistence",31.2840224661,10073.4552340864
1953,"Peruvian morwong","Cheilodactylus variegatus","Peru","Subsistence",2.2371357899,599.552391700168
1953,"Peruvian rock seabass","Paralabrax humeralis","Peru","Subsistence",99.0375793189,41397.7081553134
1953,"Peruvian weakfish","Cynoscion analis","Peru","Subsistence",97.612988132,35726.3536562938
1953,"Rainbow runner","Elagatis bipinnulata","Chile","Subsistence",2.6096146113,1103.86698058476
1953,"Sea catfishes, coblers","Ariidae","Brazil","Subsistence",13.7535737463,43970.1752669211
1953,"Sea snails","Gastropoda","Peru","Subsistence",0.7407874172,445.954025172588
