"Taxon.Key","FAO_Name","MatchName","SAU_name","Species","Country","Year","Aquaculture","Capture","Exports","Imports","Production","DHC_Use","FMFO_Use","Other_Use","Discards"
NA,"Amazon.sailfin.catfish",NA,NA,"Amazon.sailfin.catfish","Brazil","X2014",0,1447,0,0,0,NA,NA,NA,NA
NA,"Amazon.sailfin.catfish",NA,NA,"Amazon.sailfin.catfish","Brazil","X2015",0,1390,0,0,0,NA,NA,NA,NA
NA,"Amazon.sailfin.catfish",NA,NA,"Amazon.sailfin.catfish","Brazil","X2016",0,1390,0,0,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..nei.frozen",NA,NA,"American.European.lobsters.Homarus.spp..nei.frozen","Brazil","X2016",0,0,7,1,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..not.frozen",NA,NA,"American.European.lobsters.Homarus.spp..not.frozen","Brazil","X2014",0,0,0,1,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..not.frozen",NA,NA,"American.European.lobsters.Homarus.spp..not.frozen","Brazil","X2016",0,0,0,1,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..whole.frozen",NA,NA,"American.European.lobsters.Homarus.spp..whole.frozen","Brazil","X2010",0,0,78,0,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..whole.frozen",NA,NA,"American.European.lobsters.Homarus.spp..whole.frozen","Brazil","X2011",0,0,379,0,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..whole.frozen",NA,NA,"American.European.lobsters.Homarus.spp..whole.frozen","Brazil","X2012",0,0,244,0,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..whole.frozen",NA,NA,"American.European.lobsters.Homarus.spp..whole.frozen","Brazil","X2013",0,0,313,0,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..whole.frozen",NA,NA,"American.European.lobsters.Homarus.spp..whole.frozen","Brazil","X2014",0,0,257,0,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..whole.frozen",NA,NA,"American.European.lobsters.Homarus.spp..whole.frozen","Brazil","X2015",0,0,223,0,0,NA,NA,NA,NA
NA,"American.European.lobsters.Homarus.spp..whole.frozen",NA,NA,"American.European.lobsters.Homarus.spp..whole.frozen","Brazil","X2016",0,0,1255,0,0,NA,NA,NA,NA
NA,"Aquatic.invertebrates.other.than.prepared.or.preserved",NA,NA,"Aquatic.invertebrates.other.than.prepared.or.preserved","Brazil","X2012",0,0,0,2,0,NA,NA,NA,NA
NA,"Aquatic.invertebrates.other.than.prepared.or.preserved",NA,NA,"Aquatic.invertebrates.other.than.prepared.or.preserved","Brazil","X2013",0,0,0,2,0,NA,NA,NA,NA
NA,"Aquatic.invertebrates.other.than.prepared.or.preserved",NA,NA,"Aquatic.invertebrates.other.than.prepared.or.preserved","Brazil","X2014",0,0,0,4,0,NA,NA,NA,NA
NA,"Aquatic.invertebrates.other.than.prepared.or.preserved",NA,NA,"Aquatic.invertebrates.other.than.prepared.or.preserved","Brazil","X2015",0,0,0,5,0,NA,NA,NA,NA
NA,"Aquatic.invertebrates.other.than.prepared.or.preserved",NA,NA,"Aquatic.invertebrates.other.than.prepared.or.preserved","Brazil","X2016",0,0,0,6,0,NA,NA,NA,NA
NA,"Arapaima",NA,NA,"Arapaima","Brazil","X2010",10,1253,0,0,0,NA,NA,NA,NA
NA,"Arapaima",NA,NA,"Arapaima","Brazil","X2011",2114,1182,0,0,0,NA,NA,NA,NA
NA,"Arapaima",NA,NA,"Arapaima","Brazil","X2012",2581,1191,0,0,0,NA,NA,NA,NA
NA,"Arapaima",NA,NA,"Arapaima","Brazil","X2013",2301,1201,0,0,0,NA,NA,NA,NA
NA,"Arapaima",NA,NA,"Arapaima","Brazil","X2014",11800,1186,0,0,0,NA,NA,NA,NA
NA,"Arapaima",NA,NA,"Arapaima","Brazil","X2015",8400,1140,0,0,0,NA,NA,NA,NA
NA,"Arapaima",NA,NA,"Arapaima","Brazil","X2016",8600,1140,0,0,0,NA,NA,NA,NA
NA,"Arawana",NA,NA,"Arawana","Brazil","X2010",0,1727,0,0,0,NA,NA,NA,NA
NA,"Arawana",NA,NA,"Arawana","Brazil","X2011",0,1629,0,0,0,NA,NA,NA,NA
NA,"Arawana",NA,NA,"Arawana","Brazil","X2012",0,1642,0,0,0,NA,NA,NA,NA
NA,"Arawana",NA,NA,"Arawana","Brazil","X2013",0,1656,0,0,0,NA,NA,NA,NA
NA,"Arawana",NA,NA,"Arawana","Brazil","X2014",0,1635,0,0,0,NA,NA,NA,NA
NA,"Arawana",NA,NA,"Arawana","Brazil","X2015",0,1570,0,0,0,NA,NA,NA,NA
NA,"Arawana",NA,NA,"Arawana","Brazil","X2016",0,1570,0,0,0,NA,NA,NA,NA
NA,"Banded.astyanax",NA,NA,"Banded.astyanax","Brazil","X2010",0,1098,0,0,0,NA,NA,NA,NA
NA,"Banded.astyanax",NA,NA,"Banded.astyanax","Brazil","X2011",233,1035,0,0,0,NA,NA,NA,NA
NA,"Banded.astyanax",NA,NA,"Banded.astyanax","Brazil","X2012",254,1043,0,0,0,NA,NA,NA,NA
NA,"Banded.astyanax",NA,NA,"Banded.astyanax","Brazil","X2013",256,1052,0,0,0,NA,NA,NA,NA
NA,"Banded.astyanax",NA,NA,"Banded.astyanax","Brazil","X2014",300,1039,0,0,0,NA,NA,NA,NA
NA,"Banded.astyanax",NA,NA,"Banded.astyanax","Brazil","X2015",250,1000,0,0,0,NA,NA,NA,NA
NA,"Banded.astyanax",NA,NA,"Banded.astyanax","Brazil","X2016",250,1000,0,0,0,NA,NA,NA,NA
NA,"Barred.sorubim",NA,NA,"Barred.sorubim","Brazil","X2010",0,1038,0,0,0,NA,NA,NA,NA
NA,"Barred.sorubim",NA,NA,"Barred.sorubim","Brazil","X2011",0,979,0,0,0,NA,NA,NA,NA
NA,"Barred.sorubim",NA,NA,"Barred.sorubim","Brazil","X2012",0,987,0,0,0,NA,NA,NA,NA
NA,"Barred.sorubim",NA,NA,"Barred.sorubim","Brazil","X2013",0,995,0,0,0,NA,NA,NA,NA
NA,"Barred.sorubim",NA,NA,"Barred.sorubim","Brazil","X2014",0,982,0,0,0,NA,NA,NA,NA
NA,"Barred.sorubim",NA,NA,"Barred.sorubim","Brazil","X2015",0,945,0,0,0,NA,NA,NA,NA
NA,"Barred.sorubim",NA,NA,"Barred.sorubim","Brazil","X2016",0,945,0,0,0,NA,NA,NA,NA
NA,"Black.caiman",NA,NA,"Black.caiman","Brazil","X2012",0,275,0,0,0,NA,NA,NA,NA
NA,"Black.caiman",NA,NA,"Black.caiman","Brazil","X2013",0,51,0,0,0,NA,NA,NA,NA
NA,"Black.caiman",NA,NA,"Black.caiman","Brazil","X2014",0,290,0,0,0,NA,NA,NA,NA
NA,"Blue.whitings.Micromesistius.poutassou.Micromesistius.australis.frozen",NA,NA,"Blue.whitings.Micromesistius.poutassou.Micromesistius.australis.frozen","Brazil","X2012",0,0,0,8,0,NA,NA,NA,NA
NA,"Blue.whitings.Micromesistius.poutassou.Micromesistius.australis.frozen",NA,NA,"Blue.whitings.Micromesistius.poutassou.Micromesistius.australis.frozen","Brazil","X2013",0,0,0,187,0,NA,NA,NA,NA
NA,"Blue.whitings.Micromesistius.poutassou.Micromesistius.australis.frozen",NA,NA,"Blue.whitings.Micromesistius.poutassou.Micromesistius.australis.frozen","Brazil","X2014",0,0,0,726,0,NA,NA,NA,NA
NA,"Blue.whitings.Micromesistius.poutassou.Micromesistius.australis.frozen",NA,NA,"Blue.whitings.Micromesistius.poutassou.Micromesistius.australis.frozen","Brazil","X2015",0,0,0,130,0,NA,NA,NA,NA
NA,"Boto",NA,NA,"Boto","Brazil","X2011",0,3,0,0,0,NA,NA,NA,NA
NA,"Broadnosed.caiman",NA,NA,"Broadnosed.caiman","Brazil","X2010",0,5,0,0,0,NA,NA,NA,NA
NA,"Broadnosed.caiman",NA,NA,"Broadnosed.caiman","Brazil","X2012",0,20,0,0,0,NA,NA,NA,NA
NA,"Cachama",NA,NA,"Cachama","Brazil","X2010",54313,4204,0,0,0,NA,NA,NA,NA
NA,"Cachama",NA,NA,"Cachama","Brazil","X2011",79648,3964,0,0,0,NA,NA,NA,NA
NA,"Cachama",NA,NA,"Cachama","Brazil","X2012",89376,3995,0,0,0,NA,NA,NA,NA
NA,"Cachama",NA,NA,"Cachama","Brazil","X2013",88719,4029,0,0,0,NA,NA,NA,NA
NA,"Cachama",NA,NA,"Cachama","Brazil","X2014",139600,3978,0,0,0,NA,NA,NA,NA
NA,"Cachama",NA,NA,"Cachama","Brazil","X2015",135900,3820,0,0,0,NA,NA,NA,NA
NA,"Cachama",NA,NA,"Cachama","Brazil","X2016",137000,3820,0,0,0,NA,NA,NA,NA
NA,"Carps.eels.and.snakeheads.fillets.fresh.or.chilled",NA,NA,"Carps.eels.and.snakeheads.fillets.fresh.or.chilled","Brazil","X2013",0,0,0,144,0,NA,NA,NA,NA
NA,"Carps.eels.and.snakeheads.fillets.fresh.or.chilled",NA,NA,"Carps.eels.and.snakeheads.fillets.fresh.or.chilled","Brazil","X2014",0,0,0,25,0,NA,NA,NA,NA
NA,"Carps.eels.and.snakeheads.fillets.frozen",NA,NA,"Carps.eels.and.snakeheads.fillets.frozen","Brazil","X2012",0,0,17,79,0,NA,NA,NA,NA
NA,"Carps.eels.and.snakeheads.fillets.frozen",NA,NA,"Carps.eels.and.snakeheads.fillets.frozen","Brazil","X2013",0,0,0,3485,0,NA,NA,NA,NA
NA,"Carps.eels.and.snakeheads.fillets.frozen",NA,NA,"Carps.eels.and.snakeheads.fillets.frozen","Brazil","X2014",0,0,0,1022,0,NA,NA,NA,NA
NA,"Channel.catfish",NA,NA,"Channel.catfish","Brazil","X2010",2500,0,0,0,0,NA,NA,NA,NA
NA,"Characins.nei",NA,NA,"Characins.nei","Brazil","X2010",0,14725,0,0,0,NA,NA,NA,NA
NA,"Characins.nei",NA,NA,"Characins.nei","Brazil","X2011",0,15828,0,0,0,NA,NA,NA,NA
