"group","year","catch","no_hc","aquaculture","exports","imports","total"
"salmon",2014,6,0,11574249,352409.92533,6.3103,11221851.38497
"salmon",2015,0,0,7451712,266700.80194,389.5283,7185400.72636
"salmon",2016,0,0,6210090,190539.82488,493.7957,6020043.97082
"salmon",2017,0,0,7455274,242696.57674,420.5624,7212997.98566
"sardina",2013,792747,972504,0,160.24392,2169.74226,-177747.50166
"sardina",2014,1711968,2160228,0,94.377,1758.37227,-446596.00473
"sardina",2015,2570733,1655127,0,195.36,1256.30337,916666.94337
"sardina",2016,912495,1133985,0,16.43136,824.28966,-220682.1417
"sardina",2017,1092204,1278522,0,18.57864,1071.66015,-185264.91849
"tiburon",2013,2491,0,0,0,0,2491
"tiburon",2014,2924,1,0,0,0,2923
"tiburon",2015,8696,0,0,0,0,8696
"tiburon",2016,5224,1,0,0,0,5223
"tiburon",2017,3764,0,0,0,0,3764
"trucha",2013,0,0,145625,121088.75905,0,24536.24095
"trucha",2014,0,0,151773,82378.81721,0,69394.18279
"trucha",2015,0,0,107109,72108.10133,0,35000.89867
"trucha",2016,0,0,84607,53264.81817,0,31342.18183
"trucha",2017,0,0,76960,46894.42655,0.001,30065.57445
