"subsector","year","region","month","species","tons","international_waters"
"artisanal",2013,"national","MAR","CENTOLLON",699,0
"artisanal",2013,"national","MAR","CENTOLLON DEL NORTE",NA,0
"artisanal",2013,"national","MAR","CRUSTACEO NO CLASIFICADO",NA,0
"artisanal",2013,"national","MAR","GAMBA",2,0
"artisanal",2013,"national","MAR","JAIBA LIMON",35,0
"artisanal",2013,"national","MAR","JAIBA MARMOLA",434,0
"artisanal",2013,"national","MAR","JAIBA MORA",15,0
"artisanal",2013,"national","MAR","JAIBA PANCHOTE O CANGREJO",NA,0
"artisanal",2013,"national","MAR","JAIBA PATUDA",5,0
"artisanal",2013,"national","MAR","JAIBA PELUDA O PACHONA",58,0
"artisanal",2013,"national","MAR","JAIBA REINA",13,0
"artisanal",2013,"national","MAR","JAIBA REMADORA",14,0
"artisanal",2013,"national","MAR","LANGOSTA DE J.FERNANDEZ",16,0
"artisanal",2013,"national","MAR","LANGOSTA ENANA",4,0
"artisanal",2013,"national","MAR","LANGOSTINO AMARILLO",NA,0
"artisanal",2013,"national","MAR","LANGOSTINO COLORADO",5,0
"artisanal",2013,"national","MAR","LANGOSTINO ENANO",2,0
"artisanal",2013,"national","MAR","PICOROCO",14,0
"artisanal",2013,"national","MAR","ERIZO",1116,0
"artisanal",2013,"national","MAR","PEPINO DE MAR",NA,0
"artisanal",2013,"national","MAR","PIURE",167,0
"artisanal",2013,"national","ABR","CHASCA",17,0
"artisanal",2013,"national","ABR","CHASCON O HUIRO NEGRO",30151,0
"artisanal",2013,"national","ABR","CHICOREA DE MAR",253,0
"artisanal",2013,"national","ABR","COCHAYUYO",1055,0
"artisanal",2013,"national","ABR","HUIRO",2859,0
"artisanal",2013,"national","ABR","HUIRO PALO",2295,0
"artisanal",2013,"national","ABR","LECHUGUILLA",NA,0
"artisanal",2013,"national","ABR","LIQUEN GOMOSO",NA,0
"artisanal",2013,"national","ABR","LUCHE",6,0
"artisanal",2013,"national","ABR","LUGA CUCHARA O CORTA",501,0
"artisanal",2013,"national","ABR","LUGA NEGRA O CRESPA",4256,0
"artisanal",2013,"national","ABR","LUGA-ROJA",4633,0
"artisanal",2013,"national","ABR","PELILLO",5303,0
"artisanal",2013,"national","ABR","ALBACORA O PEZ ESPADA",500,0
"artisanal",2013,"national","ABR","ANCHOVETA",30099,0
"artisanal",2013,"national","ABR","ANGUILA",26,0
"artisanal",2013,"national","ABR","APANADO",1,0
"artisanal",2013,"national","ABR","ATUN ALETA AMARILLA",NA,0
"artisanal",2013,"national","ABR","ATUN ALETA LARGA",NA,0
"artisanal",2013,"national","ABR","ATUN CHAUCHERA",NA,0
"artisanal",2013,"national","ABR","ATUN OJOS GRANDES",NA,0
"artisanal",2013,"national","ABR","AYANQUE",NA,0
"artisanal",2013,"national","ABR","AZULEJO",11,0
"artisanal",2013,"national","ABR","BACALADILLO O MOTE",9923,0
"artisanal",2013,"national","ABR","BACALAO DE PROFUNDIDAD",128,0
"artisanal",2013,"national","ABR","BAGRE AGUA DULCE",1,0
"artisanal",2013,"national","ABR","BESUGO",NA,0
"artisanal",2013,"national","ABR","BLANQUILLO",3,0
"artisanal",2013,"national","ABR","BONITO",NA,0
"artisanal",2013,"national","ABR","BRECA O BILAGAY",9,0
"artisanal",2013,"national","ABR","BROTULA",NA,0
"artisanal",2013,"national","ABR","CABALLA",2880,0
"artisanal",2013,"national","ABR","CABINZA",4,0
"artisanal",2013,"national","ABR","CABRILLA",12,0
"artisanal",2013,"national","ABR","CABRILLA COMUN",4,0
"artisanal",2013,"national","ABR","CANQUE",NA,0
"artisanal",2013,"national","ABR","CHANCHARRO",NA,0
"artisanal",2013,"national","ABR","COCHINILLA",NA,0
"artisanal",2013,"national","ABR","COJINOBA DEL NORTE",30,0
"artisanal",2013,"national","ABR","COJINOBA DEL SUR",NA,0
"artisanal",2013,"national","ABR","CONGRIO COLORADO",51,0
"artisanal",2013,"national","ABR","CONGRIO DORADO",63,0
"artisanal",2013,"national","ABR","CONGRIO NEGRO",19,0
"artisanal",2013,"national","ABR","CORVINA",36,0
"artisanal",2013,"national","ABR","DORADO DE ALTURA",2,0
"artisanal",2013,"national","ABR","HUAIQUIL O CORVINILLA",NA,0
"artisanal",2013,"national","ABR","JERGUILLA",1,0
