"species","year","tons","sc_name","en_name","group","en_group"
"CHANCHARRO","2015",913,"Helicolenus lengerichi","Rockfish helicolenus","pescado_otros","Fish"
"COCHINILLA","2015",NA,"Navodon Paschalis","Navodon","pescado_otros","Fish"
"COJINOBA","2015",4929,"Seriolella ","Warehou","pescado_otros","Fish"
"CONGRIO COLORADO","2015",615,"Genypterus chilensis","Red cusk-eel","congrio","Cusk-eel"
"CONGRIO DORADO","2015",1366,"Genypterus blacodes","Pink cusk-eel","congrio","Cusk-eel"
"CONGRIO NEGRO","2015",148,"Genypterus maculatus","Black cusk-eel","congrio","Cusk-eel"
"CORVINA","2015",848,"Cilus gilberti","Corvina drum","pescado_otros","Fish"
"DORADO DE ALTURA","2015",NA,"Coryphaena hippurus","Common dolphinfish","pescado_otros","Fish"
"DRACO RAYADO","2015",NA,"Champsocephalus gunnari","Mackerel icefish","pescado_otros","Fish"
"HUAIQUIL O CORVINILLA","2015",1,"Micropogonias manni","Micropogonias manni","pescado_otros","Fish"
"JERGUILLA","2015",6,"Aplodactylus punctatus","Jerguilla","pescado_otros","Fish"
"JUREL","2015",288772,"Trachurus murphyi","Chilean jack mackerel","jurel","Jack mackerel"
"LENGUADO","2015",21,"Paralichthys spp.","Large-tooth flounders","pescado_otros","Fish"
"LISA","2015",42,"Mugil cephalus","Flathead grey mullet","pescado_otros","Fish"
"MACHUELO TRITRE","2015",9695,"Ethmidium maculatum","Pacific menhaden","pescado_otros","Fish"
"MARLIN","2015",55,"Tetrapturus spp.","Tetrapturus","pescado_otros","Fish"
"MARRAJO O TIBURON","2015",355,"Isurus oxyrinchus","Shortfin mako","tiburon","Shark"
"MERLUZA COMUN","2015",19387,"Merluccius gayi gayi","South Pacific hake","merluza","Hake"
"MERLUZA DE COLA","2015",37475,"Macruronus magellanicus","Patagonian grenadier","merluza","Hake"
"MERLUZA DE TRES ALETAS","2015",8809,"Micromesistius australis","Southern blue whiting","merluza","Hake"
"MERLUZA DEL SUR","2015",16150,"Merluccius australis","Southern hake","merluza","Hake"
"NANUE","2015",NA,"Kiphosus sandwicensis","Pacific chub","pescado_otros","Fish"
"ORANGE ROUGHY","2015",NA,"Hoplosthethus atlanticus","Orange roughy","pescado_otros","Fish"
"PAMPANITO","2015",2462,"Stromateus stellatus","Starry butterfish","pescado_otros","Fish"
"PEJEGALLO","2015",442,"Callorhinchus callorhynchus","American Elephantfish","pescado_otros","Fish"
"PEJEPERRO","2015",8,"Semicossyphus maculatus","Sheephead","pescado_otros","Fish"
"PEJERRATA","2015",59,"Coelorhynchus chilensis","Chilean grenadier","pescado_otros","Fish"
"PEJERREY DE MAR","2015",877,"Odontesthes regia","Chilean silverside","pescado_otros","Fish"
"PEJESAPO","2015",NA,"Sicyases sanguin","Pejesapo","pescado_otros","Fish"
"PESCADO NO CLASIFICADO","2015",42,"Pescado","Fish","pescado_otros","Fish"
"PUYE","2015",NA,"Galaxias maculatus","Common galaxias","pescado_otros","Fish"
"RAYA","2015",37,"Zearaja chilensis","Yellownose skate","raya","Ray"
"REINETA","2015",34218,"Brama australis","Southern rays bream","pescado_otros","Fish"
"REMOREMO","2015",1,"Elagatis bipinnulata","Rainbow runner","pescado_otros","Fish"
"ROBALO","2015",236,"Eleginops maclovinus","Patagonian blennie","pescado_otros","Fish"
"ROCOCO","2015",NA,"Paralonchurus peruanus","Peruvian banded croaker","pescado_otros","Fish"
"ROLLIZO","2015",16,"Pinguipes chilensis","Chilean sandperch","pescado_otros","Fish"
"RONCACHO","2015",38,"Sciaena deliciosa","Lorna drum","pescado_otros","Fish"
"SALMON ARTICO","2015",NA,"Salvelinus alpinus","Arctic char","salmon","Salmon"
"SALMON DEL ATLANTICO","2015",621884,"Salmo salar","Atlantic salmon","salmon","Salmon"
